"year","sex","age","deaths"
1998,"female",40,109.233218626511
1998,"female",45,117.250335589925
1998,"female",50,167.35731661126
1998,"female",55,221.070537288583
1998,"female",60,329.703935120386
1998,"female",65,365.780961455748
1998,"female",70,419.89650095879
1998,"female",75,452.967108432871
1998,"female",80,397.849429309402
1998,"female",85,1159.4755408337
1999,"female",0,404.224514842811
1999,"female",1,94.2856188467103
1999,"female",5,34.1033089445548
1999,"female",10,35.106347442924
1999,"female",15,50.1519249184629
1999,"female",20,52.1580019152014
1999,"female",25,78.2370028728022
1999,"female",30,73.2218103809559
1999,"female",35,82.2491568662792
1999,"female",40,98.2977728401873
1999,"female",45,145.440582263542
1999,"female",50,182.553006703205
1999,"female",55,231.701893123299
1999,"female",60,295.896357018931
1999,"female",65,402.218437846073
1999,"female",70,455.920202566886
1999,"female",75,414.254899826504
1999,"female",80,400.212360849334
1999,"female",85,1091.30588622575
2000,"female",0,385.747526978417
2000,"female",1,77.1495053956834
2000,"female",5,40.0776651406148
2000,"female",10,33.0640737410072
2000,"female",15,54.10484793983
2000,"female",20,47.0912565402224
2000,"female",25,61.1184393394375
2000,"female",30,64.1242642249836
2000,"female",35,96.1863963374755
2000,"female",40,87.1689216808371
2000,"female",45,106.205812622629
2000,"female",50,160.310660562459
2000,"female",55,231.44851618705
2000,"female",60,328.636854153041
2000,"female",65,368.714519293656
2000,"female",70,458.889265860039
2000,"female",75,430.834900261609
2000,"female",80,379.735877207325
2000,"female",85,1046.02706017005
2001,"female",0,335.427948892502
2001,"female",1,90.3440649600913
2001,"female",5,28.1070424320284
2001,"female",10,37.1414489280375
2001,"female",15,53.2026160320537
2001,"female",20,47.1796783680477
2001,"female",25,59.2255536960598
2001,"female",30,68.2599601920689
2001,"female",35,73.279074912074
2001,"female",40,113.431992672115
2001,"female",45,135.516097440137
2001,"female",50,160.611671040162
2001,"female",55,221.844870624224
2001,"female",60,282.074247264285
2001,"female",65,361.376259840365
2001,"female",70,431.643865920436
2001,"female",75,486.854127840492
2001,"female",80,407.552115264412
2001,"female",85,1052.00644531306
2002,"female",0,357.421225622306
2002,"female",1,91.6519077107947
2002,"female",5,38.0482363653085
2002,"female",10,33.0418894751363
2002,"female",15,57.7809451847255
2002,"female",20,54.0685464138594
2002,"female",25,51.0647382797561
2002,"female",30,68.0863177063415
2002,"female",35,87.1104358889957
2002,"female",40,85.1078971329268
2002,"female",45,160.203100485509
2002,"female",50,212.2691081433
2002,"female",55,221.28053254561
2002,"female",60,294.373197142123
2002,"female",65,376.477286140947
2002,"female",70,429.544563176772
2002,"female",75,536.680386626456
2002,"female",80,477.117669142338
2002,"female",85,1101.39631583788
2003,"female",0,283.210074678384
2003,"female",1,75.1193008451224
2003,"female",5,41.0652177953336
2003,"female",10,35.0556737277238
2003,"female",15,47.0747618629434
2003,"female",20,58.092259320228
2003,"female",25,61.0970313540329
2003,"female",30,75.1193008451224
2003,"female",35,87.138388980342
2003,"female",40,123.195653386001
2003,"female",45,138.219513555025
2003,"female",50,192.305410163513
2003,"female",55,265.421529652766
2003,"female",60,337.536058464083
2003,"female",65,444.247414394722
2003,"female",70,499.793748289548
2003,"female",75,563.895551677386
2003,"female",80,551.876463542166
2003,"female",85,1157.83882369282
2004,"female",0,282.799845390823
2004,"female",1,65.053757147474
2004,"female",5,36.0297731893702
2004,"female",10,37.0306002224083
2004,"female",15,36.0297731893702
2004,"female",20,63.0521030813979
2004,"female",25,51.0421786849411
2004,"female",30,83.0686437421591
2004,"female",35,73.0603734117785
2004,"female",40,111.091800667225
2004,"female",45,141.116611658367
2004,"female",50,187.154655178117
2004,"female",55,258.21337452382
2004,"female",60,328.271266836484
2004,"female",65,406.335775413453
2004,"female",70,495.40938135384
2004,"female",75,537.444116741439
2004,"female",80,560.463138501314
2004,"female",85,1087.89898491237
2005,"female",0,292.619921475608
2005,"female",1,71.1507343313978
2005,"female",5,39.0827977313312
2005,"female",10,30.0636905625624
2005,"female",15,45.0955358438436
2005,"female",20,55.1167660313645
2005,"female",25,57.1210120688686
2005,"female",30,75.1592264064061
2005,"female",35,85.1804565939269
2005,"female",40,107.227163006473
2005,"female",45,138.292976587787
2005,"female",50,191.405496581647
2005,"female",55,234.496786387987
2005,"female",60,344.730318450716
2005,"female",65,424.900159950882
2005,"female",70,436.925636175907
2005,"female",75,573.21436672619
2005,"female",80,628.331132757555
2005,"female",85,1196.97761756096
2006,"female",0,247.476269535878
2006,"female",1,75.0967202831608
2006,"female",5,35.0451361321417
2006,"female",10,53.0683490001003
2006,"female",15,53.0683490001003
2006,"female",20,46.059321773672
2006,"female",25,59.0760866227532
2006,"female",30,62.0799554340796
2006,"female",35,86.1109059246911
2006,"female",40,116.149594037955
2006,"female",45,135.17409650969
2006,"female",50,214.275975207952
2006,"female",55,254.327559358971
2006,"female",60,350.451361321417
2006,"female",65,413.532606359272
2006,"female",70,514.662856340596
2006,"female",75,593.764735038858
2006,"female",80,616.332088788816
2006,"female",85,1176.51528443619
2007,"female",0,243.174158006273
2007,"female",1,72.5519607220362
2007,"female",5,29.0207842888145
2007,"female",10,36.0258011861145
2007,"female",15,48.034401581486
2007,"female",20,52.0372683799432
2007,"female",25,75.0537524710719
2007,"female",30,62.0444353760861
2007,"female",35,86.0616361668291
2007,"female",40,116.083137155258
2007,"female",45,145.103921444072
2007,"female",50,202.144773322087
2007,"female",55,270.193508895859
2007,"female",60,374.268045655745
2007,"female",65,441.856117279068
2007,"female",70,573.937100492682
2007,"female",75,602.431453167804
2007,"female",80,677.000964773493
2007,"female",85,1198.85860613792
2008,"female",0,241.811931226998
2008,"female",1,60.0653885780195
2008,"female",5,33.0359637179107
